column,role,group,dtype,missing_n,missing_pct
subject_id,id_time,id_time,int64,0,0.0
hadm_id,id_time,id_time,int64,0,0.0
stay_id,id_time,id_time,int64,0,0.0
intime,id_time,id_time,object,0,0.0
landmark12_time,id_time,id_time,object,0,0.0
window60_time,id_time,id_time,object,0,0.0
primary_outcome_flag,label_qc_exclude,label,int64,0,0.0
label_support_escalation_flag,label_qc_exclude,label,int64,0,0.0
label_nee_escalation_flag,label_qc_exclude,label,int64,0,0.0
label_death_12_60_flag,label_qc_exclude,label,int64,0,0.0
label_hd_nee010_flag,label_qc_exclude,label,int64,0,0.0
label_hd_no_nee_flag,label_qc_exclude,label,int64,0,0.0
label_mixed_shock_proxy_flag,label_qc_exclude,label,int64,0,0.0
label_hd_lactate_confirmed_flag,label_qc_exclude,label,int64,0,0.0
age,candidate_predictor,static_demographic_unit,int64,0,0.0
female,candidate_predictor,static_demographic_unit,int64,0,0.0
male,candidate_predictor,static_demographic_unit,int64,0,0.0
first_unit_micu_flag,candidate_predictor,static_demographic_unit,int64,0,0.0
first_unit_ccu_cicu_flag,candidate_predictor,static_demographic_unit,int64,0,0.0
first_unit_sicu_flag,candidate_predictor,static_demographic_unit,int64,0,0.0
first_unit_cvicu_flag,candidate_predictor,static_demographic_unit,int64,0,0.0
hf_icd_primary_seq,candidate_predictor,ahf_evidence,int64,0,0.0
hf_icd_seq_eq1_flag,candidate_predictor,ahf_evidence,int64,0,0.0
hf_icd_seq_2_5_flag,candidate_predictor,ahf_evidence,int64,0,0.0
acute_hf_icd_flag,candidate_predictor,ahf_evidence,int64,0,0.0
hf_icd_seq_le5,candidate_predictor,ahf_evidence,int64,0,0.0
iv_loop_rx_early12_flag,candidate_predictor,ahf_evidence,int64,0,0.0
ntprobnp_ge300_early12_flag,candidate_predictor,ahf_evidence,int64,0,0.0
ahf_evidence_score_primary_12h,candidate_predictor,ahf_evidence,int64,0,0.0
early_sepsis12_max_sofa_score,candidate_predictor,early_sepsis,int64,0,0.0
early_sepsis12_suspected_infection_hour,candidate_predictor,early_sepsis,float64,0,0.0
early_sepsis12_sofa_hour,candidate_predictor,early_sepsis,float64,0,0.0
suspected_infection_before_icu_flag,candidate_predictor,early_sepsis,int64,0,0.0
suspected_infection_icu_0_6h_flag,candidate_predictor,early_sepsis,int64,0,0.0
suspected_infection_icu_6_12h_flag,candidate_predictor,early_sepsis,int64,0,0.0
charlson_comorbidity_index,candidate_predictor,comorbidity,int64,0,0.0
charlson_myocardial_infarct,candidate_predictor,comorbidity,int64,0,0.0
charlson_congestive_heart_failure,candidate_predictor,comorbidity,int64,0,0.0
charlson_peripheral_vascular_disease,candidate_predictor,comorbidity,int64,0,0.0
charlson_cerebrovascular_disease,candidate_predictor,comorbidity,int64,0,0.0
charlson_dementia,candidate_predictor,comorbidity,int64,0,0.0
charlson_chronic_pulmonary_disease,candidate_predictor,comorbidity,int64,0,0.0
charlson_rheumatic_disease,candidate_predictor,comorbidity,int64,0,0.0
charlson_peptic_ulcer_disease,candidate_predictor,comorbidity,int64,0,0.0
charlson_mild_liver_disease,candidate_predictor,comorbidity,int64,0,0.0
charlson_diabetes_without_cc,candidate_predictor,comorbidity,int64,0,0.0
charlson_diabetes_with_cc,candidate_predictor,comorbidity,int64,0,0.0
charlson_paraplegia,candidate_predictor,comorbidity,int64,0,0.0
charlson_renal_disease,candidate_predictor,comorbidity,int64,0,0.0
charlson_malignant_cancer,candidate_predictor,comorbidity,int64,0,0.0
charlson_severe_liver_disease,candidate_predictor,comorbidity,int64,0,0.0
charlson_metastatic_solid_tumor,candidate_predictor,comorbidity,int64,0,0.0
charlson_aids,candidate_predictor,comorbidity,int64,0,0.0
hr_n,candidate_predictor,vitals_0_12h,int64,0,0.0
hr_first,candidate_predictor,vitals_0_12h,int64,0,0.0
hr_last,candidate_predictor,vitals_0_12h,int64,0,0.0
hr_mean,candidate_predictor,vitals_0_12h,float64,0,0.0
hr_min,candidate_predictor,vitals_0_12h,int64,0,0.0
hr_max,candidate_predictor,vitals_0_12h,int64,0,0.0
hr_delta,candidate_predictor,vitals_0_12h,int64,0,0.0
sbp_n,candidate_predictor,vitals_0_12h,int64,0,0.0
sbp_first,candidate_predictor,vitals_0_12h,float64,1,0.04
sbp_last,candidate_predictor,vitals_0_12h,float64,1,0.04
sbp_mean,candidate_predictor,vitals_0_12h,float64,1,0.04
sbp_min,candidate_predictor,vitals_0_12h,float64,1,0.04
sbp_max,candidate_predictor,vitals_0_12h,float64,1,0.04
sbp_delta,candidate_predictor,vitals_0_12h,float64,1,0.04
dbp_n,candidate_predictor,vitals_0_12h,int64,0,0.0
dbp_mean,candidate_predictor,vitals_0_12h,float64,1,0.04
dbp_min,candidate_predictor,vitals_0_12h,float64,1,0.04
dbp_max,candidate_predictor,vitals_0_12h,float64,1,0.04
mbp_n,candidate_predictor,vitals_0_12h,int64,0,0.0
mbp_first,candidate_predictor,vitals_0_12h,float64,0,0.0
mbp_last,candidate_predictor,vitals_0_12h,float64,0,0.0
mbp_mean,candidate_predictor,vitals_0_12h,float64,0,0.0
mbp_min,candidate_predictor,vitals_0_12h,float64,0,0.0
mbp_max,candidate_predictor,vitals_0_12h,float64,0,0.0
mbp_delta,candidate_predictor,vitals_0_12h,float64,0,0.0
rr_n,candidate_predictor,vitals_0_12h,int64,0,0.0
rr_first,candidate_predictor,vitals_0_12h,float64,3,0.12
rr_last,candidate_predictor,vitals_0_12h,float64,3,0.12
rr_mean,candidate_predictor,vitals_0_12h,float64,3,0.12
rr_min,candidate_predictor,vitals_0_12h,float64,3,0.12
rr_max,candidate_predictor,vitals_0_12h,float64,3,0.12
rr_delta,candidate_predictor,vitals_0_12h,float64,3,0.12
temp_n,candidate_predictor,vitals_0_12h,int64,0,0.0
temp_first,candidate_predictor,vitals_0_12h,float64,41,1.69
temp_last,candidate_predictor,vitals_0_12h,float64,41,1.69
temp_mean,candidate_predictor,vitals_0_12h,float64,41,1.69
temp_min,candidate_predictor,vitals_0_12h,float64,41,1.69
temp_max,candidate_predictor,vitals_0_12h,float64,41,1.69
temp_delta,candidate_predictor,vitals_0_12h,float64,41,1.69
spo2_n,candidate_predictor,vitals_0_12h,int64,0,0.0
spo2_first,candidate_predictor,vitals_0_12h,int64,0,0.0
spo2_last,candidate_predictor,vitals_0_12h,int64,0,0.0
spo2_mean,candidate_predictor,vitals_0_12h,float64,0,0.0
spo2_min,candidate_predictor,vitals_0_12h,int64,0,0.0
spo2_max,candidate_predictor,vitals_0_12h,int64,0,0.0
spo2_delta,candidate_predictor,vitals_0_12h,int64,0,0.0
vital_glucose_n,candidate_predictor,vitals_0_12h,int64,0,0.0
vital_glucose_mean,candidate_predictor,vitals_0_12h,float64,66,2.72
vital_glucose_min,candidate_predictor,vitals_0_12h,float64,66,2.72
vital_glucose_max,candidate_predictor,vitals_0_12h,float64,66,2.72
hr_available_flag,candidate_predictor,vitals_0_12h,int64,0,0.0
sbp_available_flag,candidate_predictor,vitals_0_12h,int64,0,0.0
mbp_available_flag,candidate_predictor,vitals_0_12h,int64,0,0.0
rr_available_flag,candidate_predictor,vitals_0_12h,int64,0,0.0
temp_available_flag,candidate_predictor,vitals_0_12h,int64,0,0.0
spo2_available_flag,candidate_predictor,vitals_0_12h,int64,0,0.0
lactate_n,candidate_predictor,blood_gas_0_12h,int64,0,0.0
lactate_first,candidate_predictor,blood_gas_0_12h,float64,1108,45.71
lactate_last,candidate_predictor,blood_gas_0_12h,float64,1108,45.71
lactate_min,candidate_predictor,blood_gas_0_12h,float64,1108,45.71
lactate_max,candidate_predictor,blood_gas_0_12h,float64,1108,45.71
lactate_mean,candidate_predictor,blood_gas_0_12h,float64,1108,45.71
lactate_delta,candidate_predictor,blood_gas_0_12h,float64,1108,45.71
ph_n,candidate_predictor,blood_gas_0_12h,int64,0,0.0
ph_first,candidate_predictor,blood_gas_0_12h,float64,849,35.02
ph_last,candidate_predictor,blood_gas_0_12h,float64,849,35.02
ph_min,candidate_predictor,blood_gas_0_12h,float64,849,35.02
ph_max,candidate_predictor,blood_gas_0_12h,float64,849,35.02
ph_mean,candidate_predictor,blood_gas_0_12h,float64,849,35.02
ph_delta,candidate_predictor,blood_gas_0_12h,float64,849,35.02
baseexcess_n,candidate_predictor,blood_gas_0_12h,int64,0,0.0
baseexcess_min,candidate_predictor,blood_gas_0_12h,float64,850,35.07
baseexcess_max,candidate_predictor,blood_gas_0_12h,float64,850,35.07
baseexcess_mean,candidate_predictor,blood_gas_0_12h,float64,850,35.07
bg_bicarbonate_n,candidate_predictor,blood_gas_0_12h,int64,0,0.0
bg_bicarbonate_min,candidate_predictor,blood_gas_0_12h,float64,2402,99.09
bg_bicarbonate_max,candidate_predictor,blood_gas_0_12h,float64,2402,99.09
bg_bicarbonate_mean,candidate_predictor,blood_gas_0_12h,float64,2402,99.09
po2_n,candidate_predictor,blood_gas_0_12h,int64,0,0.0
po2_min,candidate_predictor,blood_gas_0_12h,float64,849,35.02
po2_max,candidate_predictor,blood_gas_0_12h,float64,849,35.02
po2_mean,candidate_predictor,blood_gas_0_12h,float64,849,35.02
pco2_n,candidate_predictor,blood_gas_0_12h,int64,0,0.0
pco2_min,candidate_predictor,blood_gas_0_12h,float64,850,35.07
pco2_max,candidate_predictor,blood_gas_0_12h,float64,850,35.07
pco2_mean,candidate_predictor,blood_gas_0_12h,float64,850,35.07
pf_ratio_n,candidate_predictor,blood_gas_0_12h,int64,0,0.0
pf_ratio_min,candidate_predictor,blood_gas_0_12h,float64,1406,58.0
pf_ratio_max,candidate_predictor,blood_gas_0_12h,float64,1406,58.0
pf_ratio_mean,candidate_predictor,blood_gas_0_12h,float64,1406,58.0
creatinine_n,candidate_predictor,chemistry_0_12h,int64,0,0.0
creatinine_first,candidate_predictor,chemistry_0_12h,float64,131,5.4
creatinine_last,candidate_predictor,chemistry_0_12h,float64,131,5.4
creatinine_min,candidate_predictor,chemistry_0_12h,float64,131,5.4
creatinine_max,candidate_predictor,chemistry_0_12h,float64,131,5.4
creatinine_mean,candidate_predictor,chemistry_0_12h,float64,131,5.4
creatinine_delta,candidate_predictor,chemistry_0_12h,float64,131,5.4
bun_n,candidate_predictor,chemistry_0_12h,int64,0,0.0
bun_min,candidate_predictor,chemistry_0_12h,float64,133,5.49
bun_max,candidate_predictor,chemistry_0_12h,float64,133,5.49
bun_mean,candidate_predictor,chemistry_0_12h,float64,133,5.49
sodium_n,candidate_predictor,chemistry_0_12h,int64,0,0.0
sodium_min,candidate_predictor,chemistry_0_12h,float64,163,6.72
sodium_max,candidate_predictor,chemistry_0_12h,float64,163,6.72
sodium_mean,candidate_predictor,chemistry_0_12h,float64,163,6.72
potassium_n,candidate_predictor,chemistry_0_12h,int64,0,0.0
potassium_min,candidate_predictor,chemistry_0_12h,float64,142,5.86
potassium_max,candidate_predictor,chemistry_0_12h,float64,142,5.86
potassium_mean,candidate_predictor,chemistry_0_12h,float64,142,5.86
chloride_n,candidate_predictor,chemistry_0_12h,int64,0,0.0
chloride_min,candidate_predictor,chemistry_0_12h,float64,131,5.4
chloride_max,candidate_predictor,chemistry_0_12h,float64,131,5.4
chloride_mean,candidate_predictor,chemistry_0_12h,float64,131,5.4
chem_bicarbonate_n,candidate_predictor,chemistry_0_12h,int64,0,0.0
chem_bicarbonate_min,candidate_predictor,chemistry_0_12h,float64,137,5.65
chem_bicarbonate_max,candidate_predictor,chemistry_0_12h,float64,137,5.65
chem_bicarbonate_mean,candidate_predictor,chemistry_0_12h,float64,137,5.65
aniongap_n,candidate_predictor,chemistry_0_12h,int64,0,0.0
aniongap_min,candidate_predictor,chemistry_0_12h,float64,148,6.11
aniongap_max,candidate_predictor,chemistry_0_12h,float64,148,6.11
aniongap_mean,candidate_predictor,chemistry_0_12h,float64,148,6.11
chem_glucose_n,candidate_predictor,chemistry_0_12h,int64,0,0.0
chem_glucose_min,candidate_predictor,chemistry_0_12h,float64,210,8.66
chem_glucose_max,candidate_predictor,chemistry_0_12h,float64,210,8.66
chem_glucose_mean,candidate_predictor,chemistry_0_12h,float64,210,8.66
albumin_n,candidate_predictor,chemistry_0_12h,int64,0,0.0
albumin_min,candidate_predictor,chemistry_0_12h,float64,1664,68.65
albumin_max,candidate_predictor,chemistry_0_12h,float64,1664,68.65
albumin_mean,candidate_predictor,chemistry_0_12h,float64,1664,68.65
wbc_n,candidate_predictor,cbc_0_12h,int64,0,0.0
wbc_min,candidate_predictor,cbc_0_12h,float64,264,10.89
wbc_max,candidate_predictor,cbc_0_12h,float64,264,10.89
