check_group,concept,cause_code,stay_count,mean_raw_max,max_raw_max
exclusive_cause,lactate,no_lactate_specimen_has_po2,549,1.9324772313296905,10.4
exclusive_cause,lactate,official_candidate_in_window_absent_from_public_bg,0,,
exclusive_cause,lactate,official_candidates_all_after_t12,0,,
exclusive_cause,lactate,po2_present_all_lactate_values_outside_official_range,0,,
exclusive_cause,lactate,raw_only_unresolved,0,,
hard_gate,all,active_dictionary_mismatch,0,,
hard_gate,all,cohort_duplicate_stay_rows,0,,
hard_gate,all,cohort_invalid_boundary,0,,
hard_gate,all,cohort_missing_key,0,,
hard_gate,all,eligible_specimen_violation,0,,
hard_gate,all,eligible_time_violation,0,,
hard_gate,all,eligible_wrong_contract,0,,
hard_gate,all,quarantine_dictionary_mismatch,0,,
hard_gate,bun,bun_eligible_nonblood_or_wrong_item,0,,
hard_gate,lactate,raw_only_public_bg_in_window_match,0,,
membership,lactate,any_lactate_specimen_has_po2,0,,
membership,lactate,any_official_bg_candidate,0,,
membership,lactate,official_candidate_charttime_after_t12,0,,
membership,lactate,official_candidate_charttime_in_window,0,,
membership,lactate,official_candidate_matches_public_bg_any_time,0,,
membership,lactate,raw_max_specimen_has_po2,0,,
reference_total,lactate,raw_only,549,1.9324772313296898,10.4
