check_group,concept,reason_code,row_count
classification,base_excess,available_after_landmark,45
classification,base_excess,eligible,6204
classification,bicarbonate,available_after_landmark,643
classification,bicarbonate,eligible,6905
classification,bun,available_after_landmark,644
classification,bun,eligible,6918
classification,bun,wrong_fluid_urine,384
classification,creatinine,available_after_landmark,649
classification,creatinine,eligible,6937
classification,hemoglobin,available_after_landmark,298
classification,hemoglobin,eligible,6264
classification,inr,available_after_landmark,317
classification,inr,eligible,4916
classification,lactate,available_after_landmark,38
classification,lactate,eligible,4932
classification,ntprobnp,available_after_landmark,146
classification,ntprobnp,eligible,639
classification,ph,available_after_landmark,46
classification,ph,eligible,6413
classification,platelet,available_after_landmark,299
classification,platelet,eligible,6250
classification,potassium,available_after_landmark,681
classification,potassium,eligible,7105
classification,sodium,available_after_landmark,665
classification,sodium,eligible,6999
classification,troponin_t,available_after_landmark,416
classification,troponin_t,eligible,3384
classification,wbc,available_after_landmark,297
classification,wbc,eligible,6201
dictionary,base_excess,allow:matched,1
dictionary,bicarbonate,allow:matched,1
dictionary,bun,allow:matched,1
dictionary,bun,quarantine:matched,8
dictionary,creatinine,allow:matched,1
dictionary,hemoglobin,allow:matched,1
dictionary,inr,allow:matched,1
dictionary,lactate,allow:matched,1
dictionary,ntprobnp,allow:matched,1
dictionary,ph,allow:matched,1
dictionary,platelet,allow:matched,1
dictionary,potassium,allow:matched,1
dictionary,sodium,allow:matched,1
dictionary,troponin_t,allow:matched,1
dictionary,wbc,allow:matched,1
hard_gate,all,active_dictionary_mismatch,0
hard_gate,all,cohort_duplicate_stay_rows,0
hard_gate,all,cohort_invalid_boundary,0
hard_gate,all,cohort_missing_key,0
hard_gate,all,eligible_specimen_violation,0
hard_gate,all,eligible_time_violation,0
hard_gate,all,eligible_wrong_contract,0
hard_gate,all,quarantine_dictionary_mismatch,0
hard_gate,bun,bun_eligible_nonblood_or_wrong_item,0
result_class,base_excess,exact_numeric,6232
result_class,base_excess,missing_result,17
result_class,bicarbonate,exact_numeric,7544
result_class,bicarbonate,missing_result,4
result_class,bun,exact_numeric,7942
result_class,bun,missing_result,4
result_class,creatinine,exact_numeric,7585
result_class,creatinine,missing_result,1
result_class,hemoglobin,exact_numeric,6536
result_class,hemoglobin,missing_result,26
result_class,inr,exact_numeric,5142
result_class,inr,missing_result,87
result_class,inr,non_numeric_text,4
result_class,lactate,exact_numeric,4970
result_class,ntprobnp,exact_numeric,761
result_class,ntprobnp,missing_result,24
result_class,ph,exact_numeric,6456
result_class,ph,missing_result,3
result_class,platelet,exact_numeric,6518
result_class,platelet,missing_result,31
result_class,potassium,exact_numeric,7779
result_class,potassium,missing_result,7
result_class,sodium,exact_numeric,7662
result_class,sodium,missing_result,2
result_class,troponin_t,exact_numeric,3148
result_class,troponin_t,missing_result,652
result_class,wbc,exact_numeric,6466
result_class,wbc,missing_result,32
