check_group,concept,metric,cause_code,stay_count,event_count,mean_abs_diff,max_abs_diff
dictionary,bun,itemid,allow:matched,0,1,,
dictionary,bun,itemid,quarantine:matched,0,1,,
dictionary,bun,itemid,quarantine:matched,0,1,,
dictionary,bun,itemid,quarantine:matched,0,1,,
dictionary,bun,itemid,quarantine:matched,0,1,,
dictionary,bun,itemid,quarantine:matched,0,1,,
dictionary,bun,itemid,quarantine:matched,0,1,,
dictionary,bun,itemid,quarantine:matched,0,1,,
dictionary,bun,itemid,quarantine:matched,0,1,,
dictionary,creatinine,itemid,allow:matched,0,1,,
dictionary,lactate,itemid,allow:matched,0,1,,
difference_cause,bun,max,both_equal,4763,13603,0.0,0.0
difference_cause,bun,max,both_unequal,222,733,3.085585585585586,44.0
difference_cause,bun,max,derived_only_with_late_raw,142,142,,
difference_cause,creatinine,max,both_equal,4825,13842,0.0,0.0
difference_cause,creatinine,max,both_unequal,162,537,0.18395061728395062,0.8999999999999999
difference_cause,creatinine,max,derived_only_with_late_raw,142,142,,
difference_cause,lactate,max,both_equal,2221,7490,0.0,0.0
difference_cause,lactate,max,both_unequal,136,546,0.6801470588235293,3.9000000000000004
difference_cause,lactate,max,derived_only_with_late_raw,4,4,,
difference_cause,lactate,max,raw_only_derived_missing,549,724,,
feature_coverage,bun,max,both,4985,14336,0.13741223671013048,44.0
feature_coverage,bun,max,derived_only,142,142,,
feature_coverage,creatinine,max,both,4987,14379,0.005975536394626031,0.8999999999999999
feature_coverage,creatinine,max,derived_only,142,142,,
feature_coverage,lactate,max,both,2357,8036,0.03924480271531607,3.9000000000000004
feature_coverage,lactate,max,derived_only,4,4,,
feature_coverage,lactate,max,raw_only,549,724,,
hard_gate,all,contract,active_dictionary_mismatch,0,0,,
hard_gate,all,contract,cohort_duplicate_stay_rows,0,0,,
hard_gate,all,contract,cohort_invalid_boundary,0,0,,
hard_gate,all,contract,cohort_missing_key,0,0,,
hard_gate,all,contract,eligible_specimen_violation,0,0,,
hard_gate,all,contract,eligible_time_violation,0,0,,
hard_gate,all,contract,eligible_wrong_contract,0,0,,
hard_gate,all,contract,quarantine_dictionary_mismatch,0,0,,
hard_gate,bun,contract,bun_eligible_nonblood_or_wrong_item,0,0,,
raw_event_cause,bun,event,censored_or_non_numeric,4,4,,
raw_event_cause,bun,event,censored_or_non_numeric_contract_ok,1,1,,
raw_event_cause,bun,event,duplicate_specimen_itemid,0,0,,
raw_event_cause,bun,event,eligible_raw,4985,6917,,
raw_event_cause,bun,event,late_result,678,687,,
raw_event_cause,bun,event,late_result_contract_ok,643,644,,
raw_event_cause,bun,event,missing_specimen_id,0,0,,
raw_event_cause,bun,event,out_of_analysis_range,0,0,,
raw_event_cause,bun,event,out_of_analysis_range_contract_ok,0,0,,
raw_event_cause,bun,event,storetime_before_charttime,0,0,,
raw_event_cause,bun,event,wrong_contract,377,384,,
raw_event_cause,creatinine,event,censored_or_non_numeric,1,1,,
raw_event_cause,creatinine,event,censored_or_non_numeric_contract_ok,1,1,,
raw_event_cause,creatinine,event,duplicate_specimen_itemid,0,0,,
raw_event_cause,creatinine,event,eligible_raw,4987,6936,,
raw_event_cause,creatinine,event,late_result,648,649,,
raw_event_cause,creatinine,event,late_result_contract_ok,648,649,,
raw_event_cause,creatinine,event,missing_specimen_id,0,0,,
raw_event_cause,creatinine,event,out_of_analysis_range,0,0,,
raw_event_cause,creatinine,event,out_of_analysis_range_contract_ok,0,0,,
raw_event_cause,creatinine,event,storetime_before_charttime,0,0,,
raw_event_cause,creatinine,event,wrong_contract,0,0,,
raw_event_cause,lactate,event,censored_or_non_numeric,0,0,,
raw_event_cause,lactate,event,censored_or_non_numeric_contract_ok,0,0,,
raw_event_cause,lactate,event,duplicate_specimen_itemid,0,0,,
raw_event_cause,lactate,event,eligible_raw,2906,4932,,
raw_event_cause,lactate,event,late_result,38,38,,
raw_event_cause,lactate,event,late_result_contract_ok,38,38,,
raw_event_cause,lactate,event,missing_specimen_id,0,0,,
raw_event_cause,lactate,event,out_of_analysis_range,0,0,,
raw_event_cause,lactate,event,out_of_analysis_range_contract_ok,0,0,,
raw_event_cause,lactate,event,storetime_before_charttime,0,0,,
raw_event_cause,lactate,event,wrong_contract,0,0,,
