check_group,concept,direction,cause_code,stay_count,mean_abs_diff,max_abs_diff
exclusive_cause,bun,derived_higher,derived_higher_matches_late_raw,222,3.0855855855855863,44.0
exclusive_cause,bun,derived_higher,derived_higher_matches_other_quarantine_raw,0,,
exclusive_cause,bun,derived_higher,derived_higher_not_found_in_raw,0,,
exclusive_cause,bun,derived_higher,derived_higher_unresolved,0,,
exclusive_cause,bun,precision_only,precision_only,0,,
exclusive_cause,bun,raw_higher,raw_higher_derived_value_in_eligible_raw_set,0,,
exclusive_cause,bun,raw_higher,raw_higher_lactate_specimen_missing_po2,0,,
exclusive_cause,bun,raw_higher,raw_higher_specimen_absent_from_derived,0,,
exclusive_cause,bun,raw_higher,raw_higher_unresolved,0,,
exclusive_cause,creatinine,derived_higher,derived_higher_matches_late_raw,162,0.18395061728395062,0.8999999999999999
exclusive_cause,creatinine,derived_higher,derived_higher_matches_other_quarantine_raw,0,,
exclusive_cause,creatinine,derived_higher,derived_higher_not_found_in_raw,0,,
exclusive_cause,creatinine,derived_higher,derived_higher_unresolved,0,,
exclusive_cause,creatinine,precision_only,precision_only,0,,
exclusive_cause,creatinine,raw_higher,raw_higher_derived_value_in_eligible_raw_set,0,,
exclusive_cause,creatinine,raw_higher,raw_higher_lactate_specimen_missing_po2,0,,
exclusive_cause,creatinine,raw_higher,raw_higher_specimen_absent_from_derived,0,,
exclusive_cause,creatinine,raw_higher,raw_higher_unresolved,0,,
exclusive_cause,lactate,derived_higher,derived_higher_matches_late_raw,10,0.49000000000000016,1.1
exclusive_cause,lactate,derived_higher,derived_higher_matches_other_quarantine_raw,0,,
exclusive_cause,lactate,derived_higher,derived_higher_not_found_in_raw,0,,
exclusive_cause,lactate,derived_higher,derived_higher_unresolved,0,,
exclusive_cause,lactate,precision_only,precision_only,0,,
exclusive_cause,lactate,raw_higher,raw_higher_derived_value_in_eligible_raw_set,0,,
exclusive_cause,lactate,raw_higher,raw_higher_lactate_specimen_missing_po2,126,0.6952380952380951,3.9000000000000004
exclusive_cause,lactate,raw_higher,raw_higher_specimen_absent_from_derived,0,,
exclusive_cause,lactate,raw_higher,raw_higher_unresolved,0,,
hard_gate,all,not_applicable,active_dictionary_mismatch,0,,
hard_gate,all,not_applicable,cohort_duplicate_stay_rows,0,,
hard_gate,all,not_applicable,cohort_invalid_boundary,0,,
hard_gate,all,not_applicable,cohort_missing_key,0,,
hard_gate,all,not_applicable,eligible_specimen_violation,0,,
hard_gate,all,not_applicable,eligible_time_violation,0,,
hard_gate,all,not_applicable,eligible_wrong_contract,0,,
hard_gate,all,not_applicable,quarantine_dictionary_mismatch,0,,
hard_gate,bun,not_applicable,bun_eligible_nonblood_or_wrong_item,0,,
membership,bun,all,derived_max_in_any_raw_set,222,3.0855855855855854,44.0
membership,bun,all,derived_max_in_eligible_raw_set,0,,
membership,bun,all,derived_max_in_late_raw_set,222,3.0855855855855854,44.0
membership,bun,all,raw_max_in_derived_event_set,222,3.0855855855855854,44.0
membership,creatinine,all,derived_max_in_any_raw_set,162,0.18395061728395065,0.8999999999999999
membership,creatinine,all,derived_max_in_eligible_raw_set,0,,
membership,creatinine,all,derived_max_in_late_raw_set,162,0.18395061728395065,0.8999999999999999
membership,creatinine,all,raw_max_in_derived_event_set,162,0.18395061728395065,0.8999999999999999
membership,lactate,all,derived_max_in_any_raw_set,136,0.6801470588235295,3.9000000000000004
membership,lactate,all,derived_max_in_eligible_raw_set,125,0.6904000000000001,3.9000000000000004
membership,lactate,all,derived_max_in_late_raw_set,11,0.5636363636363638,1.3000000000000003
membership,lactate,all,raw_max_in_derived_event_set,9,0.47777777777777786,1.1
reference_total,bun,all,both_unequal,222,3.085585585585583,44.0
reference_total,creatinine,all,both_unequal,162,0.18395061728395062,0.8999999999999999
reference_total,lactate,all,both_unequal,136,0.6801470588235294,3.9000000000000004
