audit_section,rule_version,status,concept,itemid,label,fluid,category,unit,quarantine_reason,result_class,n_rows,n_specimens,n_stays,min_charttime,max_charttime,notes
dictionary_contract,mimic_lab_semantic_audit_v2_20260917,matched,bun,51006,Urea Nitrogen,Blood,Chemistry,,,,,,,,,rule_id=lab-bun-blood-v1
dictionary_contract,mimic_lab_semantic_audit_v2_20260917,matched,creatinine,50912,Creatinine,Blood,Chemistry,,,,,,,,,rule_id=project-creatinine-blood-v1
dictionary_contract,mimic_lab_semantic_audit_v2_20260917,matched,lactate,50813,Lactate,Blood,Blood Gas,,,,,,,,,rule_id=lab-lactate-blood-gas-v1
dictionary_contract,mimic_lab_semantic_audit_v2_20260917,matched,ntprobnp,50963,NTproBNP,Blood,Chemistry,,,,,,,,,rule_id=project-ntprobnp-blood-v1
dictionary_contract,mimic_lab_semantic_audit_v2_20260917,matched,ph,50820,pH,Blood,Blood Gas,,,,,,,,,rule_id=project-ph-blood-v1
dictionary_contract,mimic_lab_semantic_audit_v2_20260917,matched,troponin_t,51003,Troponin T,Blood,Chemistry,,,,,,,,,rule_id=project-troponin-t-blood-v1
raw_derived_coverage,mimic_lab_semantic_audit_v2_20260917,both,bun,,,,,,,,6917,,4985,,,Coverage key: stay_id + specimen_id; derived chemistry lacks storetime.
raw_derived_coverage,mimic_lab_semantic_audit_v2_20260917,derived_only,bun,,,,,,,,644,,643,,,Coverage key: stay_id + specimen_id; derived chemistry lacks storetime.
raw_derived_coverage,mimic_lab_semantic_audit_v2_20260917,both,lactate,,,,,,,,3803,,2356,,,Coverage key: stay_id + charttime; derived bg does not expose specimen_id/storetime.
raw_derived_coverage,mimic_lab_semantic_audit_v2_20260917,derived_only,lactate,,,,,,,,29,,29,,,Coverage key: stay_id + charttime; derived bg does not expose specimen_id/storetime.
raw_derived_coverage,mimic_lab_semantic_audit_v2_20260917,raw_only,lactate,,,,,,,,1128,,874,,,Coverage key: stay_id + charttime; derived bg does not expose specimen_id/storetime.
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,eligible,bun,51006,Urea Nitrogen,Blood,Chemistry,mg/dL,,exact_numeric,6917,6917,4985,2110-01-31T04:59:00,2214-07-23T01:08:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,eligible,bun,51006,Urea Nitrogen,Blood,Chemistry,mg/dL,,unparseable_or_text,1,1,1,2156-12-28T12:29:00,2156-12-28T12:29:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,quarantined,bun,51006,Urea Nitrogen,Blood,Chemistry,mg/dL,available_after_landmark,exact_numeric,644,644,643,2110-02-13T03:20:00,2210-08-21T22:29:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,quarantined,bun,51104,"Urea Nitrogen, Urine",Urine,Chemistry,mg/dL,wrong_fluid_urine,exact_numeric,381,381,374,2110-10-01T22:37:00,2214-05-04T03:00:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,quarantined,bun,51104,"Urea Nitrogen, Urine",Urine,Chemistry,mg/dL,wrong_fluid_urine,unparseable_or_text,3,3,3,2163-10-18T17:39:00,2202-02-17T16:14:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,eligible,creatinine,50912,Creatinine,Blood,Chemistry,mg/dL,,exact_numeric,6936,6936,4987,2110-01-31T04:59:00,2214-07-23T01:08:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,eligible,creatinine,50912,Creatinine,Blood,Chemistry,mg/dL,,unparseable_or_text,1,1,1,2156-12-28T12:29:00,2156-12-28T12:29:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,quarantined,creatinine,50912,Creatinine,Blood,Chemistry,mg/dL,available_after_landmark,exact_numeric,649,649,648,2110-02-13T03:20:00,2210-08-21T22:29:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
raw_semantic_and_time,mimic_lab_semantic_audit_v2_20260917,eligible,lactate,50813,Lactate,Blood,Blood Gas,mmol/L,,exact_numeric,4932,4932,2906,2110-01-31T04:17:00,2214-05-04T03:45:00,"Raw values are preserved; no silent zero-fill, truncation, conversion, or censor substitution."
