"table_schema","table_name"
"mimiciv_derived","acei"
"mimiciv_derived","age"
"mimiciv_derived","antibiotic"
"mimiciv_derived","apsiii"
"mimiciv_derived","bg"
"mimiciv_derived","blood_differential"
"mimiciv_derived","cardiac_marker"
"mimiciv_derived","charlson"
"mimiciv_derived","chemistry"
"mimiciv_derived","coagulation"
"mimiciv_derived","complete_blood_count"
"mimiciv_derived","creatinine_baseline"
"mimiciv_derived","crrt"
"mimiciv_derived","dobutamine"
"mimiciv_derived","dopamine"
"mimiciv_derived","enzyme"
"mimiciv_derived","epinephrine"
"mimiciv_derived","first_day_bg"
"mimiciv_derived","first_day_bg_art"
"mimiciv_derived","first_day_gcs"
"mimiciv_derived","first_day_height"
"mimiciv_derived","first_day_lab"
"mimiciv_derived","first_day_rrt"
"mimiciv_derived","first_day_sofa"
"mimiciv_derived","first_day_urine_output"
"mimiciv_derived","first_day_vitalsign"
"mimiciv_derived","first_day_weight"
"mimiciv_derived","gcs"
"mimiciv_derived","height"
"mimiciv_derived","icp"
"mimiciv_derived","icustay_detail"
"mimiciv_derived","icustay_hourly"
"mimiciv_derived","icustay_times"
"mimiciv_derived","inflammation"
"mimiciv_derived","invasive_line"
"mimiciv_derived","kdigo_creatinine"
"mimiciv_derived","kdigo_stages"
"mimiciv_derived","kdigo_uo"
"mimiciv_derived","lods"
"mimiciv_derived","meld"
"mimiciv_derived","milrinone"
"mimiciv_derived","neuroblock"
"mimiciv_derived","norepinephrine"
"mimiciv_derived","norepinephrine_equivalent_dose"
"mimiciv_derived","nsaid"
"mimiciv_derived","oasis"
"mimiciv_derived","oxygen_delivery"
"mimiciv_derived","phenylephrine"
"mimiciv_derived","rhythm"
"mimiciv_derived","rrt"
"mimiciv_derived","sapsii"
"mimiciv_derived","sepsis3"
"mimiciv_derived","sirs"
"mimiciv_derived","sofa"
"mimiciv_derived","suspicion_of_infection"
"mimiciv_derived","urine_output"
"mimiciv_derived","urine_output_rate"
"mimiciv_derived","vasoactive_agent"
"mimiciv_derived","vasopressin"
"mimiciv_derived","ventilation"
"mimiciv_derived","ventilator_setting"
"mimiciv_derived","vitalsign"
"mimiciv_derived","weight_durations"
