"icd_version","icd_code_clean","long_title","n","min_seq","median_seq"
"9","4280","Congestive heart failure, unspecified","6920","1","8"
"10","I110","Hypertensive heart disease with heart failure","2954","1","10"
"10","I130","Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease","1946","1","6"
"10","I5033","Acute on chronic diastolic (congestive) heart failure","1419","1","3"
"10","I5023","Acute on chronic systolic (congestive) heart failure","1327","1","3"
"10","I5032","Chronic diastolic (congestive) heart failure","1237","2","5"
"9","42832","Chronic diastolic heart failure","1116","1","4"
"9","42833","Acute on chronic diastolic heart failure","1111","1","2"
"9","42823","Acute on chronic systolic heart failure","1053","1","2"
"10","I5022","Chronic systolic (congestive) heart failure","1034","1","5"
"9","42822","Chronic systolic heart failure","937","1","4"
"10","I5021","Acute systolic (congestive) heart failure","791","1","3"
"10","I509","Heart failure, unspecified","675","1","10"
"9","42821","Acute systolic heart failure","580","1","2"
"9","42831","Acute diastolic heart failure","379","1","3"
"10","I132","Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease","377","1","5"
"10","I5031","Acute diastolic (congestive) heart failure","338","1","3"
"9","42843","Acute on chronic combined systolic and diastolic heart failure","300","1","2"
"10","I5020","Unspecified systolic (congestive) heart failure","260","2","6"
"10","I5030","Unspecified diastolic (congestive) heart failure","227","2","6"
"10","I5043","Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure","193","1","3"
"9","42830","Diastolic heart failure, unspecified","181","1","4"
"9","42842","Chronic combined systolic and diastolic heart failure","129","1","4"
"9","42820","Systolic heart failure, unspecified","128","1","4"
"9","42841","Acute combined systolic and diastolic heart failure","69","1","2"
"9","40491","Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified","69","1","4"
"10","I5042","Chronic combined systolic (congestive) and diastolic (congestive) heart failure","67","2","6"
"10","I50810","Right heart failure, unspecified","57","1","19"
"10","I5082","Biventricular heart failure","54","1","17"
"10","I5041","Acute combined systolic (congestive) and diastolic (congestive) heart failure","51","1","3"
"9","39891","Rheumatic heart failure (congestive)","47","1","3"
"9","40291","Unspecified hypertensive heart disease with heart failure","46","1","4"
"10","I501","Left ventricular failure, unspecified","45","2","6"
"10","I5084","End stage heart failure","36","1","15.5"
"9","4289","Heart failure, unspecified","35","2","9"
"10","I50811","Acute right heart failure","34","5","17"
"10","I50813","Acute on chronic right heart failure","28","1","15"
"9","40493","Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease","18","1","1"
"9","42840","Combined systolic and diastolic heart failure, unspecified","16","1","4.5"
"10","I50812","Chronic right heart failure","16","5","14"
"9","4281","Left heart failure","13","2","5"
"10","I50814","Right heart failure due to left heart failure","12","6","18"
"10","I5040","Unspecified combined systolic (congestive) and diastolic (congestive) heart failure","7","2","5"
"9","40401","Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified","6","1","2.5"
"9","40201","Malignant hypertensive heart disease with heart failure","3","1","1"
"9","40211","Benign hypertensive heart disease with heart failure","2","1","4.5"
"9","40403","Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease","2","1","1"
"9","40411","Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified","1","7","7"
"10","I5089","Other heart failure","1","15","15"
