"drug_lower","route_upper","n_orders","n_hadm"
"furosemide","IV","309749","71004"
"furosemide","PO/NG","85834","51418"
"torsemide","PO/NG","33603","14160"
"furosemide","IV DRIP","32581","10076"
"furosemide","PO","18291","11808"
"torsemide","PO","13493","6519"
"bumetanide","PO/NG","4765","2011"
"bumetanide","IV","4094","1102"
"bumetanide","IV DRIP","2087","642"
"ethacrynic acid","PO/NG","614","221"
"furosemide-heart failure","IV","508","384"
"bumetanide","PO","419","258"
"torsemide","IV","276","109"
"furosemide","NG","99","80"
"furosemide","IH","88","48"
"furosemide","MISSING","73","56"
"ethacrynic acid","PO","67","40"
"bumetanide desensitization","IV","36","3"
"furosemide rapid oral densitization ","PO","29","3"
"furosemide 20mg/2ml 2ml vial","MISSING","21","17"
"torsemide ","IV","19","14"
"torsemide","ORAL","17","9"
"furosemide 100mg/10ml 10ml vial","MISSING","13","6"
"furosemide desensitization","IV","12","1"
"torsemide","NG","12","10"
"furosemide 40mg/4ml 4ml vial","MISSING","8","8"
"bumetanide","ORAL","6","4"
"bumetanide","NG","5","3"
"furosemide","INHALATION","4","2"
"furosemide (latex free)","IV","3","3"
"furosemide","NEB","3","2"
"furosemide in 0.9% sodium chloride","IH","2","2"
"furosemide","ORAL","2","1"
"furosemide","IM","1","1"
"furosemide desensitization","IV DRIP","1","1"
"furosemide solution","PO/NG","1","1"
"furosemide","J TUBE","1","1"
"furosemide ","IH","1","1"
