"medication_lower","product_description_lower","n_records","n_hadm"
"furosemide","missing","860991","59169"
"torsemide","torsemide 20 mg tab","119461","14005"
"torsemide","missing","80129","16804"
"furosemide","furosemide 20mg tablet","70380","18588"
"furosemide","furosemide 40mg tablet","62827","15127"
"bumetanide","missing","39442","2128"
"bumetanide","bumetanide 2 mg tablet","16468","1179"
"furosemide","furosemide 100mg/10ml vial","14827","2419"
"torsemide","torsemide 100 mg tab","12162","2517"
"torsemide","torsemide 5 mg tab","11868","2010"
"furosemide","furosemide 80mg tablet","6668","1781"
"bumetanide","bumetanide 2.5mg/10ml vial","5899","866"
"bumetanide","bumetanide 0.5mg tablet","3044","388"
"furosemide","furosemide (latex free) 40 mg / 4 ml vial","2031","346"
"ethacrynic acid","ethacrynic acid 25mg tab","1811","133"
"furosemide","furosemide 40mg/4ml vial","942","235"
"furosemide","conc: 10 mg / ml","913","606"
"furosemide-heart failure","missing","832","244"
"furosemide","furosemide 20mg/2ml vial","772","334"
"ethacrynic acid","missing","746","138"
"bumetanide","bumetanide 2 mg tab","587","74"
"furosemide","furosemide 20 mg in 2 ml syringe","305","84"
"furosemide in 0.9% sodium chloride","missing","225","41"
"furosemide","furosemide 40 mg in 4 ml syringe","189","66"
"furosemide","___","175","122"
"furosemide","furosemide 20 mg in 2 ml syringe ","112","52"
"furosemide in 0.9% sodium chloride","furosemide 40 mg in 4 ml syringe (inhalation)","98","27"
"furosemide","furosemide 40 mg in 4 ml syringe ","92","27"
"bumetanide","bumetanide 1 mg / 4 ml vial","71","21"
"furosemide","furosemide 80 mg in 8 ml syringe","60","25"
"furosemide","furosemide 160 mg in 50 ml 5% dextrose","50","26"
"furosemide","furosemide 200 mg in 50 ml 5% dextrose","47","25"
"furosemide","furosemide 60 mg in 6 ml syringe","39","15"
"bumetanide","___","38","22"
"bumetanide desensitization","missing","36","3"
"furosemide in 0.9% sodium chloride","furosemide 80 mg in 8 ml syringe (inhalation)","35","1"
"furosemide","furosemide 120 mg in 12 ml syringe","34","13"
"furosemide","furosemide 10 mg in 1 ml syringe","34","21"
"furosemide","furosemide 120 mg in 50 ml 5% dextrose","30","14"
"furosemide","furosemide solution conc: 10 mg / ml","28","6"
"furosemide","furosemide solution conc: 10 mg / ml (20 mg / 2 ml)","25","7"
"furosemide","furosemide 100 mg in 10 ml syringe","24","12"
"furosemide desensitization","missing","21","1"
"furosemide","furosemide 80 mg in 8 ml syringe ","21","8"
"furosemide","2.5ml vial","20","15"
"furosemide","200 mcg / ml - 5 ml syringe","19","11"
"furosemide","furosemide 200 mg in 50 ml 5% dextrose ","18","13"
"furosemide","20meq packet","14","10"
"furosemide","15g/60ml bottle","13","5"
"furosemide","furosemide 160 mg in 50 ml 0.9% sodium chloride ","13","8"
"furosemide","100 units / ml - 10 ml vial","13","11"
"furosemide","furosemide 40 mg in 4 ml syringe (inhalation)","13","1"
"furosemide","furosemide 10 mg in 1 ml syringe ","12","8"
"bumetanide desensitization","bumetanide desensitization 0.01 mg in 50 ml 5% dextrose","12","3"
"bumetanide desensitization","bumetanide desensitization 0.1 mg in 50 ml 5% dextrose","12","3"
"bumetanide desensitization","bumetanide desensitization 1 mg in 50 ml 5% dextrose","12","3"
"torsemide","torsemide 10 mg tablet","11","4"
"furosemide","furosemide 160 mg in 50 ml 5% dextrose ","11","8"
"furosemide","furosemide 200 mg in 50 ml 0.9% sodium chloride","11","10"
"furosemide","furosemide 160 mg in 16 ml syringe","10","7"
"furosemide","0.4mg sl tablet bottle","10","10"
"bumetanide","bumetanide 5 mg in 20 ml bag","10","4"
"furosemide","furosemide 120 mg in 12 ml syringe ","10","6"
"furosemide","furosemide 120 mg in 50 ml 5% dextrose ","10","8"
"furosemide","furosemide 250 mg / 50 ml 5% dextrose *infusion  rates >= 5mg/hr *","10","10"
"missing","furosemide 20mg tablet","8","3"
"furosemide-heart failure","furosemide 100mg/10ml vial","8","5"
"missing","furosemide 40mg tablet","8","1"
"furosemide","500mg oral syringe","7","6"
"furosemide","conc: 5 mg / ml","6","4"
"furosemide","5mg tablet","6","6"
"furosemide in 0.9% sodium chloride","___","6","5"
"torsemide","___","6","1"
"furosemide","capsule","4","2"
"furosemide","10 mg / 10 ml amp","4","4"
"furosemide desensitization","___","3","1"
"furosemide","50mg/50ml syringe","3","3"
"missing","torsemide 20 mg tab","3","2"
"furosemide","50mg tablet","3","3"
"furosemide","2g vial","3","3"
"furosemide","1mg tablet","2","2"
"furosemide","40 mg tablet","2","2"
"furosemide","(0.5mg - 3 mg) - 3 ml neb","2","1"
"furosemide-heart failure","___","2","2"
"furosemide","conc: 12 mg / ml","2","1"
"furosemide","850mg tablet","2","2"
"furosemide-heart failure","furosemide 40 mg in 4 ml syringe ","1","1"
"furosemide-heart failure","furosemide 40mg/4ml vial","1","1"
"furosemide-heart failure","furosemide 60 mg in 6 ml syringe","1","1"
"furosemide","1000 ml bottle","1","1"
"furosemide","10 ml syringe","1","1"
"furosemide","8mg odt tab","1","1"
"furosemide","0.083%;3ml vial","1","1"
"furosemide in 0.9% sodium chloride","furosemide (latex free) 40 mg / 4 ml vial","1","1"
"furosemide","5000 units / ml- 1ml vial","1","1"
"furosemide","check with md for dose","1","1"
"furosemide","1 tablet","1","1"
"furosemide-heart failure","furosemide 20mg/2ml vial","1","1"
"furosemide-heart failure","furosemide 40 mg in 4 ml syringe","1","1"
