"medication_lower","route_upper","event_txt_lower","complete_dose_not_given_lower","n_records","n_hadm"
"furosemide","MISSING","administered","missing","644088","58399"
"furosemide","MISSING","confirmed","missing","148245","5678"
"torsemide","MISSING","administered","missing","143074","16521"
"furosemide","PO","administered","missing","84089","21355"
"torsemide","PO","administered","missing","58790","12774"
"furosemide","MISSING","administered","no","46907","10651"
"furosemide","PO","administered","no","31068","8995"
"bumetanide","MISSING","administered","missing","29524","2059"
"bumetanide","MISSING","confirmed","missing","20826","573"
"furosemide","MISSING","started","missing","19523","6042"
"furosemide","MISSING","stopped","missing","14424","5058"
"furosemide","MISSING","not given","missing","13768","8159"
"torsemide","MISSING","administered","no","8190","2254"
"bumetanide","PO","administered","missing","7912","1225"
"torsemide","PO","administered","no","5366","1413"
"torsemide","MISSING","not given","missing","5033","2718"
"furosemide","MISSING","missing","missing","3968","1015"
"furosemide","MISSING","stopped - unscheduled","missing","3658","1397"
"furosemide","MISSING","delayed administered","missing","2368","1353"
"bumetanide","MISSING","started","missing","1980","603"
"furosemide","NG","administered","missing","1876","444"
"ethacrynic acid","MISSING","administered","missing","1805","133"
"bumetanide","MISSING","stopped","missing","1382","479"
"furosemide","MISSING","hold dose","missing","1323","967"
"furosemide","MISSING","restarted","missing","1280","458"
"bumetanide","PO","administered","no","1239","285"
"torsemide","MISSING","delayed administered","missing","884","431"
"furosemide","MISSING","not given","no","878","788"
"bumetanide","MISSING","not given","missing","786","420"
"furosemide-heart failure","MISSING","administered","missing","625","235"
"torsemide","NG","administered","missing","621","177"
"furosemide","MISSING","missing","no","531","216"
"ethacrynic acid","PO","administered","missing","509","97"
"bumetanide","MISSING","stopped - unscheduled","missing","482","164"
"bumetanide","MISSING","administered","no","454","122"
"furosemide","MISSING","not confirmed","missing","428","329"
"furosemide","PO","delayed administered","no","385","342"
"furosemide","MISSING"," in other location","missing","385","366"
"torsemide","MISSING","hold dose","missing","360","266"
"furosemide","MISSING","not started","missing","344","308"
"furosemide in 0.9% sodium chloride","MISSING","administered","missing","326","41"
"furosemide","PO","delayed administered","missing","324","303"
"torsemide","MISSING","missing","missing","296","127"
"torsemide","PO","delayed administered","missing","261","237"
"torsemide","MISSING","not given","no","217","195"
"furosemide","MISSING","administered in other location","missing","211","189"
"furosemide","MISSING","not stopped","missing","205","195"
"furosemide","MISSING","delayed administered","no","205","194"
"bumetanide","MISSING","restarted","missing","202","67"
"furosemide","MISSING","stopped in other location","missing","189","180"
"bumetanide","NG","administered","missing","172","35"
"furosemide-heart failure","MISSING","administered","no","171","124"
"torsemide","PO","missing","missing","164","105"
"furosemide","MISSING","delayed started","missing","162","81"
"ethacrynic acid","PO","administered","no","159","35"
"furosemide","MISSING","administered","yes","158","96"
"torsemide","MISSING","delayed administered","no","144","126"
"bumetanide","MISSING","delayed administered","missing","133","61"
"furosemide","PO","missing","missing","115","89"
"furosemide","MISSING","partial administered","missing","108","74"
"bumetanide","MISSING","missing","missing","101","33"
"furosemide","MISSING","hold dose","no","97","96"
"furosemide","MISSING","partial administered","yes","86","67"
"furosemide","NG","administered","no","79","52"
"bumetanide desensitization","MISSING","administered","missing","72","3"
"furosemide","MISSING","delayed ","missing","70","61"
"torsemide","PO","delayed administered","no","66","59"
"furosemide","MISSING","delayed confirmed","missing","60","28"
"bumetanide","MISSING","hold dose","missing","60","37"
"furosemide","MISSING","administered in other location","no","50","47"
"bumetanide","MISSING","not started","missing","46","40"
"bumetanide","MISSING","not confirmed","missing","41","26"
"furosemide","MISSING"," in other location","no","37","35"
"ethacrynic acid","MISSING","not given","missing","35","26"
"furosemide","PO","missing","no","32","28"
"torsemide","MISSING","delayed ","missing","29","23"
"bumetanide","MISSING","not given","no","28","23"
"bumetanide","PO","delayed administered","no","28","25"
"ethacrynic acid","NG","administered","missing","27","10"
"torsemide","MISSING","administered in other location","missing","26","21"
"furosemide","MISSING","started in other location","missing","25","23"
"bumetanide","PO","delayed administered","missing","25","23"
"furosemide desensitization","MISSING","administered","missing","24","1"
"furosemide in 0.9% sodium chloride","MISSING","not given","missing","23","4"
"furosemide","PO","administered","yes","23","23"
"bumetanide","MISSING"," in other location","missing","22","21"
"furosemide-heart failure","MISSING","missing","missing","21","6"
"furosemide","PO","administered in other location","missing","21","20"
"bumetanide","MISSING","not stopped","missing","20","18"
"torsemide","PO","missing","no","19","12"
"furosemide","MISSING","confirmed in other location","missing","19","19"
"missing","MISSING","administered","missing","19","6"
"bumetanide","PO","missing","missing","18","12"
"torsemide","MISSING","administered","yes","16","15"
"torsemide","MISSING","hold dose","no","14","14"
"furosemide","PO"," in other location","missing","14","13"
"bumetanide","MISSING","delayed started","missing","14","6"
"torsemide","MISSING","missing","no","13","10"
"torsemide","PO","administered in other location","missing","13","13"
"furosemide in 0.9% sodium chloride","MISSING","administered","no","12","3"
