"table_schema","table_name","column_name","data_type"
"mimiciv_derived","bg","subject_id","integer"
"mimiciv_derived","bg","hadm_id","integer"
"mimiciv_derived","bg","charttime","timestamp without time zone"
"mimiciv_derived","bg","specimen","text"
"mimiciv_derived","bg","so2","double precision"
"mimiciv_derived","bg","po2","double precision"
"mimiciv_derived","bg","pco2","double precision"
"mimiciv_derived","bg","fio2_chartevents","double precision"
"mimiciv_derived","bg","fio2","double precision"
"mimiciv_derived","bg","aado2","double precision"
"mimiciv_derived","bg","aado2_calc","double precision"
"mimiciv_derived","bg","pao2fio2ratio","double precision"
"mimiciv_derived","bg","ph","double precision"
"mimiciv_derived","bg","baseexcess","double precision"
"mimiciv_derived","bg","bicarbonate","double precision"
"mimiciv_derived","bg","totalco2","double precision"
"mimiciv_derived","bg","hematocrit","double precision"
"mimiciv_derived","bg","hemoglobin","double precision"
"mimiciv_derived","bg","carboxyhemoglobin","double precision"
"mimiciv_derived","bg","methemoglobin","double precision"
"mimiciv_derived","bg","chloride","double precision"
"mimiciv_derived","bg","calcium","double precision"
"mimiciv_derived","bg","temperature","double precision"
"mimiciv_derived","bg","potassium","double precision"
"mimiciv_derived","bg","sodium","double precision"
"mimiciv_derived","bg","lactate","double precision"
"mimiciv_derived","bg","glucose","double precision"
"mimiciv_derived","chemistry","subject_id","integer"
"mimiciv_derived","chemistry","hadm_id","integer"
"mimiciv_derived","chemistry","charttime","timestamp without time zone"
"mimiciv_derived","chemistry","specimen_id","integer"
"mimiciv_derived","chemistry","albumin","double precision"
"mimiciv_derived","chemistry","globulin","double precision"
"mimiciv_derived","chemistry","total_protein","double precision"
"mimiciv_derived","chemistry","aniongap","double precision"
"mimiciv_derived","chemistry","bicarbonate","double precision"
"mimiciv_derived","chemistry","bun","double precision"
"mimiciv_derived","chemistry","calcium","double precision"
"mimiciv_derived","chemistry","chloride","double precision"
"mimiciv_derived","chemistry","creatinine","double precision"
"mimiciv_derived","chemistry","glucose","double precision"
"mimiciv_derived","chemistry","sodium","double precision"
"mimiciv_derived","chemistry","potassium","double precision"
"mimiciv_derived","dobutamine","stay_id","integer"
"mimiciv_derived","dobutamine","linkorderid","integer"
"mimiciv_derived","dobutamine","vaso_rate","double precision"
"mimiciv_derived","dobutamine","vaso_amount","double precision"
"mimiciv_derived","dobutamine","starttime","timestamp without time zone"
"mimiciv_derived","dobutamine","endtime","timestamp without time zone"
"mimiciv_derived","dopamine","stay_id","integer"
"mimiciv_derived","dopamine","linkorderid","integer"
"mimiciv_derived","dopamine","vaso_rate","double precision"
"mimiciv_derived","dopamine","vaso_amount","double precision"
"mimiciv_derived","dopamine","starttime","timestamp without time zone"
"mimiciv_derived","dopamine","endtime","timestamp without time zone"
"mimiciv_derived","epinephrine","stay_id","integer"
"mimiciv_derived","epinephrine","linkorderid","integer"
"mimiciv_derived","epinephrine","vaso_rate","double precision"
"mimiciv_derived","epinephrine","vaso_amount","double precision"
"mimiciv_derived","epinephrine","starttime","timestamp without time zone"
"mimiciv_derived","epinephrine","endtime","timestamp without time zone"
"mimiciv_derived","milrinone","stay_id","integer"
"mimiciv_derived","milrinone","linkorderid","integer"
"mimiciv_derived","milrinone","vaso_rate","double precision"
"mimiciv_derived","milrinone","vaso_amount","double precision"
"mimiciv_derived","milrinone","starttime","timestamp without time zone"
"mimiciv_derived","milrinone","endtime","timestamp without time zone"
"mimiciv_derived","norepinephrine","stay_id","integer"
"mimiciv_derived","norepinephrine","linkorderid","integer"
"mimiciv_derived","norepinephrine","vaso_rate","double precision"
"mimiciv_derived","norepinephrine","vaso_amount","double precision"
"mimiciv_derived","norepinephrine","starttime","timestamp without time zone"
"mimiciv_derived","norepinephrine","endtime","timestamp without time zone"
"mimiciv_derived","norepinephrine_equivalent_dose","stay_id","integer"
"mimiciv_derived","norepinephrine_equivalent_dose","starttime","timestamp without time zone"
"mimiciv_derived","norepinephrine_equivalent_dose","endtime","timestamp without time zone"
"mimiciv_derived","norepinephrine_equivalent_dose","norepinephrine_equivalent_dose","numeric"
"mimiciv_derived","phenylephrine","stay_id","integer"
"mimiciv_derived","phenylephrine","linkorderid","integer"
"mimiciv_derived","phenylephrine","vaso_rate","double precision"
"mimiciv_derived","phenylephrine","vaso_amount","double precision"
"mimiciv_derived","phenylephrine","starttime","timestamp without time zone"
"mimiciv_derived","phenylephrine","endtime","timestamp without time zone"
"mimiciv_derived","urine_output","stay_id","integer"
"mimiciv_derived","urine_output","charttime","timestamp without time zone"
"mimiciv_derived","urine_output","urineoutput","double precision"
"mimiciv_derived","vasoactive_agent","stay_id","integer"
"mimiciv_derived","vasoactive_agent","starttime","timestamp without time zone"
"mimiciv_derived","vasoactive_agent","endtime","timestamp without time zone"
"mimiciv_derived","vasoactive_agent","dopamine","double precision"
"mimiciv_derived","vasoactive_agent","epinephrine","double precision"
"mimiciv_derived","vasoactive_agent","norepinephrine","double precision"
"mimiciv_derived","vasoactive_agent","phenylephrine","double precision"
"mimiciv_derived","vasoactive_agent","vasopressin","double precision"
"mimiciv_derived","vasoactive_agent","dobutamine","double precision"
"mimiciv_derived","vasoactive_agent","milrinone","double precision"
"mimiciv_derived","vasopressin","stay_id","integer"
"mimiciv_derived","vasopressin","linkorderid","integer"
"mimiciv_derived","vasopressin","vaso_rate","double precision"
"mimiciv_derived","vasopressin","vaso_amount","double precision"
"mimiciv_derived","vasopressin","starttime","timestamp without time zone"
"mimiciv_derived","vasopressin","endtime","timestamp without time zone"
"mimiciv_derived","vitalsign","subject_id","integer"
"mimiciv_derived","vitalsign","stay_id","integer"
"mimiciv_derived","vitalsign","charttime","timestamp without time zone"
"mimiciv_derived","vitalsign","heart_rate","double precision"
"mimiciv_derived","vitalsign","sbp","double precision"
"mimiciv_derived","vitalsign","dbp","double precision"
"mimiciv_derived","vitalsign","mbp","double precision"
"mimiciv_derived","vitalsign","sbp_ni","double precision"
"mimiciv_derived","vitalsign","dbp_ni","double precision"
"mimiciv_derived","vitalsign","mbp_ni","double precision"
"mimiciv_derived","vitalsign","resp_rate","double precision"
"mimiciv_derived","vitalsign","temperature","numeric"
"mimiciv_derived","vitalsign","temperature_site","text"
"mimiciv_derived","vitalsign","spo2","double precision"
"mimiciv_derived","vitalsign","glucose","double precision"
