"pre24_vasoactive_flag","pre24_lactate_ge2_flag","pre24_lactate_ge4_flag","pre24_low_uo_crude_flag","pre24_hypotension_recurrent_flag","pre24_overt_cs_main_flag","pre24_overt_cs_broad_flag","n","pct"
"0","0","0","0","1","0","0","2304","27.86"
"0","0","0","0","0","0","0","1850","22.37"
"1","0","0","0","1","0","1","939","11.35"
"1","1","0","0","1","1","1","803","9.71"
"0","1","0","0","1","0","0","467","5.65"
"1","1","1","0","1","1","1","395","4.78"
"0","1","0","0","0","0","0","310","3.75"
"1","1","0","0","0","1","1","189","2.29"
"1","0","0","0","0","0","0","182","2.2"
"0","0","0","1","1","0","0","163","1.97"
"0","1","1","0","1","0","0","130","1.57"
"0","0","0","1","0","0","0","125","1.51"
"1","1","1","1","1","1","1","85","1.03"
"1","0","0","1","1","0","1","72","0.87"
"0","1","1","0","0","0","0","56","0.68"
"1","1","1","0","0","1","1","56","0.68"
"1","1","0","1","1","1","1","52","0.63"
"0","1","1","1","1","0","0","30","0.36"
"0","1","0","1","1","0","0","29","0.35"
"0","1","0","1","0","0","0","12","0.15"
"1","1","1","1","0","1","1","8","0.1"
"1","0","0","1","0","0","1","6","0.07"
"1","1","0","1","0","1","1","5","0.06"
"0","1","1","1","0","0","0","3","0.04"
