"event_norepinephrine_flag","event_epinephrine_flag","event_dopamine_flag","event_dobutamine_flag","event_milrinone_flag","event_vasopressin_flag","event_phenylephrine_flag","n","pct"
"1","0","0","0","0","0","0","61","26.18"
"0","0","0","0","0","0","1","18","7.73"
"0","0","0","1","0","0","0","15","6.44"
"1","0","0","0","0","1","0","14","6.01"
"0","0","1","0","0","0","0","12","5.15"
"0","1","0","0","0","0","1","11","4.72"
"1","0","0","0","0","0","1","8","3.43"
"1","0","0","1","0","0","0","8","3.43"
"1","1","0","0","0","0","0","6","2.58"
"1","0","0","1","0","1","0","5","2.15"
"1","0","1","0","0","0","0","5","2.15"
"1","0","0","0","0","1","1","5","2.15"
"1","1","0","0","1","0","0","5","2.15"
"0","0","0","1","1","0","0","4","1.72"
"1","0","1","0","0","0","1","4","1.72"
"0","0","0","0","1","0","0","4","1.72"
"1","1","0","0","0","1","0","4","1.72"
"0","1","0","0","0","0","0","3","1.29"
"0","0","0","0","1","0","1","3","1.29"
"0","1","0","0","1","0","1","3","1.29"
"1","1","0","0","1","1","0","3","1.29"
"1","1","0","0","1","1","1","3","1.29"
"1","1","0","0","0","0","1","2","0.86"
"1","1","0","1","0","1","1","2","0.86"
"1","1","0","0","0","1","1","2","0.86"
"0","0","0","0","0","1","0","2","0.86"
"0","1","1","0","0","0","0","2","0.86"
"0","0","1","0","0","0","1","2","0.86"
"1","1","1","0","0","1","0","2","0.86"
"0","0","0","1","1","0","1","1","0.43"
"1","0","1","0","1","0","0","1","0.43"
"1","0","0","0","1","0","1","1","0.43"
"1","0","0","0","1","0","0","1","0.43"
"0","0","1","0","1","0","0","1","0.43"
"1","1","0","1","0","1","0","1","0.43"
"1","0","1","0","0","1","1","1","0.43"
"0","0","1","0","1","0","1","1","0.43"
"1","1","0","1","0","0","0","1","0.43"
"0","0","1","0","0","1","0","1","0.43"
"1","0","0","1","0","1","1","1","0.43"
"0","0","1","1","0","0","0","1","0.43"
"1","0","1","0","0","1","0","1","0.43"
"1","1","1","0","0","0","0","1","0.43"
"0","0","0","0","1","1","1","1","0.43"
