"cohort","outcome","n_total","n_events","event_rate"
"01_overall_ahf12","01_current_mixed_shock_proxy","6301","233","3.7"
"01_overall_ahf12","02_current_mixed_shock_lac4_proxy","6301","71","1.13"
"01_overall_ahf12","03_new_support_initiation","6301","331","5.25"
"01_overall_ahf12","04_new_agent_after_preuse","6301","139","2.21"
"01_overall_ahf12","05_agent_count_increase","6301","447","7.09"
"01_overall_ahf12","06_hd_support_initiation_or_count_increase","6301","447","7.09"
"01_overall_ahf12","07_hd_support_new_or_switched_agent","6301","470","7.46"
"01_overall_ahf12","08_lactate_new_ge2","6301","153","2.43"
"01_overall_ahf12","09_lactate_2to4_worsen_ge4","6301","25","0.4"
"01_overall_ahf12","10_lactate_delta_ge2_from_last","6301","77","1.22"
"01_overall_ahf12","11_lactate_worsening_any","6301","204","3.24"
"01_overall_ahf12","12_death_12_60","6301","115","1.83"
"01_overall_ahf12","13_hd_deterioration_broad","6301","536","8.51"
"01_overall_ahf12","14_hd_deterioration_lac_confirmed","6301","176","2.79"
"01_overall_ahf12","15_hd_deterioration_med_change_broad","6301","559","8.87"
"01_overall_ahf12","16_mixed_shock_proxy_or_death","6301","328","5.21"
"02_early_sepsis12_main","01_current_mixed_shock_proxy","2424","133","5.49"
"02_early_sepsis12_main","02_current_mixed_shock_lac4_proxy","2424","39","1.61"
"02_early_sepsis12_main","03_new_support_initiation","2424","163","6.72"
"02_early_sepsis12_main","04_new_agent_after_preuse","2424","93","3.84"
"02_early_sepsis12_main","05_agent_count_increase","2424","240","9.9"
"02_early_sepsis12_main","06_hd_support_initiation_or_count_increase","2424","240","9.9"
"02_early_sepsis12_main","07_hd_support_new_or_switched_agent","2424","256","10.56"
"02_early_sepsis12_main","08_lactate_new_ge2","2424","90","3.71"
"02_early_sepsis12_main","09_lactate_2to4_worsen_ge4","2424","13","0.54"
"02_early_sepsis12_main","10_lactate_delta_ge2_from_last","2424","45","1.86"
"02_early_sepsis12_main","11_lactate_worsening_any","2424","117","4.83"
"02_early_sepsis12_main","12_death_12_60","2424","57","2.35"
"02_early_sepsis12_main","13_hd_deterioration_broad","2424","282","11.63"
"02_early_sepsis12_main","14_hd_deterioration_lac_confirmed","2424","98","4.04"
"02_early_sepsis12_main","15_hd_deterioration_med_change_broad","2424","298","12.29"
"02_early_sepsis12_main","16_mixed_shock_proxy_or_death","2424","178","7.34"
"03_no_early_sepsis12_main","01_current_mixed_shock_proxy","3877","100","2.58"
"03_no_early_sepsis12_main","02_current_mixed_shock_lac4_proxy","3877","32","0.83"
"03_no_early_sepsis12_main","03_new_support_initiation","3877","168","4.33"
"03_no_early_sepsis12_main","04_new_agent_after_preuse","3877","46","1.19"
"03_no_early_sepsis12_main","05_agent_count_increase","3877","207","5.34"
"03_no_early_sepsis12_main","06_hd_support_initiation_or_count_increase","3877","207","5.34"
"03_no_early_sepsis12_main","07_hd_support_new_or_switched_agent","3877","214","5.52"
"03_no_early_sepsis12_main","08_lactate_new_ge2","3877","63","1.62"
"03_no_early_sepsis12_main","09_lactate_2to4_worsen_ge4","3877","12","0.31"
"03_no_early_sepsis12_main","10_lactate_delta_ge2_from_last","3877","32","0.83"
"03_no_early_sepsis12_main","11_lactate_worsening_any","3877","87","2.24"
"03_no_early_sepsis12_main","12_death_12_60","3877","58","1.5"
"03_no_early_sepsis12_main","13_hd_deterioration_broad","3877","254","6.55"
"03_no_early_sepsis12_main","14_hd_deterioration_lac_confirmed","3877","78","2.01"
"03_no_early_sepsis12_main","15_hd_deterioration_med_change_broad","3877","261","6.73"
"03_no_early_sepsis12_main","16_mixed_shock_proxy_or_death","3877","150","3.87"
"04_early_sepsis12_broad","01_current_mixed_shock_proxy","2739","168","6.13"
"04_early_sepsis12_broad","02_current_mixed_shock_lac4_proxy","2739","58","2.12"
"04_early_sepsis12_broad","03_new_support_initiation","2739","212","7.74"
"04_early_sepsis12_broad","04_new_agent_after_preuse","2739","105","3.83"
"04_early_sepsis12_broad","05_agent_count_increase","2739","299","10.92"
"04_early_sepsis12_broad","06_hd_support_initiation_or_count_increase","2739","299","10.92"
"04_early_sepsis12_broad","07_hd_support_new_or_switched_agent","2739","317","11.57"
"04_early_sepsis12_broad","08_lactate_new_ge2","2739","107","3.91"
"04_early_sepsis12_broad","09_lactate_2to4_worsen_ge4","2739","17","0.62"
"04_early_sepsis12_broad","10_lactate_delta_ge2_from_last","2739","58","2.12"
"04_early_sepsis12_broad","11_lactate_worsening_any","2739","142","5.18"
"04_early_sepsis12_broad","12_death_12_60","2739","62","2.26"
"04_early_sepsis12_broad","13_hd_deterioration_broad","2739","342","12.49"
"04_early_sepsis12_broad","14_hd_deterioration_lac_confirmed","2739","113","4.13"
"04_early_sepsis12_broad","15_hd_deterioration_med_change_broad","2739","360","13.14"
"04_early_sepsis12_broad","16_mixed_shock_proxy_or_death","2739","215","7.85"
"05_sepsis3_any_icu","01_current_mixed_shock_proxy","2935","183","6.24"
"05_sepsis3_any_icu","02_current_mixed_shock_lac4_proxy","2935","61","2.08"
"05_sepsis3_any_icu","03_new_support_initiation","2935","246","8.38"
"05_sepsis3_any_icu","04_new_agent_after_preuse","2935","112","3.82"
"05_sepsis3_any_icu","05_agent_count_increase","2935","338","11.52"
"05_sepsis3_any_icu","06_hd_support_initiation_or_count_increase","2935","338","11.52"
"05_sepsis3_any_icu","07_hd_support_new_or_switched_agent","2935","358","12.2"
"05_sepsis3_any_icu","08_lactate_new_ge2","2935","118","4.02"
"05_sepsis3_any_icu","09_lactate_2to4_worsen_ge4","2935","20","0.68"
"05_sepsis3_any_icu","10_lactate_delta_ge2_from_last","2935","63","2.15"
"05_sepsis3_any_icu","11_lactate_worsening_any","2935","158","5.38"
"05_sepsis3_any_icu","12_death_12_60","2935","62","2.11"
"05_sepsis3_any_icu","13_hd_deterioration_broad","2935","381","12.98"
"05_sepsis3_any_icu","14_hd_deterioration_lac_confirmed","2935","118","4.02"
"05_sepsis3_any_icu","15_hd_deterioration_med_change_broad","2935","401","13.66"
"05_sepsis3_any_icu","16_mixed_shock_proxy_or_death","2935","230","7.84"
