"cohort","hd_support_initiation_or_count_increase_flag","hd_support_new_or_switched_agent_flag","lactate_worsening_any_flag","death_12_60_flag","hd_deterioration_broad_flag","hd_deterioration_lac_confirmed_flag","n","pct"
"01_overall_ahf12","0","0","0","0","0","0","5616","89.13"
"01_overall_ahf12","1","1","0","0","1","0","360","5.71"
"01_overall_ahf12","0","0","1","0","0","0","126","2"
"01_overall_ahf12","0","0","0","1","1","1","80","1.27"
"01_overall_ahf12","1","1","1","0","1","1","61","0.97"
"01_overall_ahf12","0","1","0","0","0","0","22","0.35"
"01_overall_ahf12","1","1","0","1","1","1","19","0.3"
"01_overall_ahf12","0","0","1","1","1","1","9","0.14"
"01_overall_ahf12","1","1","1","1","1","1","7","0.11"
"01_overall_ahf12","0","1","1","0","0","0","1","0.02"
"02_early_sepsis12_main","0","0","0","0","0","0","2060","84.98"
"02_early_sepsis12_main","1","1","0","0","1","0","184","7.59"
"02_early_sepsis12_main","0","0","1","0","0","0","66","2.72"
"02_early_sepsis12_main","1","1","1","0","1","1","41","1.69"
"02_early_sepsis12_main","0","0","0","1","1","1","36","1.49"
"02_early_sepsis12_main","0","1","0","0","0","0","16","0.66"
"02_early_sepsis12_main","1","1","0","1","1","1","11","0.45"
"02_early_sepsis12_main","0","0","1","1","1","1","6","0.25"
"02_early_sepsis12_main","1","1","1","1","1","1","4","0.17"
"03_no_early_sepsis12_main","0","0","0","0","0","0","3556","91.72"
"03_no_early_sepsis12_main","1","1","0","0","1","0","176","4.54"
"03_no_early_sepsis12_main","0","0","1","0","0","0","60","1.55"
"03_no_early_sepsis12_main","0","0","0","1","1","1","44","1.13"
"03_no_early_sepsis12_main","1","1","1","0","1","1","20","0.52"
"03_no_early_sepsis12_main","1","1","0","1","1","1","8","0.21"
"03_no_early_sepsis12_main","0","1","0","0","0","0","6","0.15"
"03_no_early_sepsis12_main","1","1","1","1","1","1","3","0.08"
"03_no_early_sepsis12_main","0","0","1","1","1","1","3","0.08"
"03_no_early_sepsis12_main","0","1","1","0","0","0","1","0.03"
