"cohort","pre12_lactate_group","n","n_lactate_new_ge2","pct_lactate_new_ge2","n_lactate_2to4_worsen_ge4","pct_lactate_2to4_worsen_ge4","n_lactate_delta_ge2","pct_lactate_delta_ge2","n_lactate_worsening_any","pct_lactate_worsening_any","n_hd_lac_confirmed","pct_hd_lac_confirmed"
"01_overall_ahf12","00_no_pre12_lactate","3630","0","0","0","0","0","0","0","0","56","1.54"
"01_overall_ahf12","01_pre12_max_lt2","1839","153","8.32","0","0","36","1.96","153","8.32","76","4.13"
"01_overall_ahf12","02_pre12_max_2_4","656","0","0","25","3.81","15","2.29","25","3.81","22","3.35"
"01_overall_ahf12","03_pre12_max_ge4","176","0","0","0","0","26","14.77","26","14.77","22","12.5"
"02_early_sepsis12_main","00_no_pre12_lactate","1108","0","0","0","0","0","0","0","0","26","2.35"
"02_early_sepsis12_main","01_pre12_max_lt2","922","90","9.76","0","0","23","2.49","90","9.76","47","5.1"
"02_early_sepsis12_main","02_pre12_max_2_4","303","0","0","13","4.29","8","2.64","13","4.29","12","3.96"
"02_early_sepsis12_main","03_pre12_max_ge4","91","0","0","0","0","14","15.38","14","15.38","13","14.29"
"03_no_early_sepsis12_main","00_no_pre12_lactate","2522","0","0","0","0","0","0","0","0","30","1.19"
"03_no_early_sepsis12_main","01_pre12_max_lt2","917","63","6.87","0","0","13","1.42","63","6.87","29","3.16"
"03_no_early_sepsis12_main","02_pre12_max_2_4","353","0","0","12","3.4","7","1.98","12","3.4","10","2.83"
"03_no_early_sepsis12_main","03_pre12_max_ge4","85","0","0","0","0","12","14.12","12","14.12","9","10.59"
