"cohort","pre12_agent_count","post12_agent_count","post12_new_agent_count","new_support_initiation_flag","new_agent_after_preuse_flag","agent_count_increase_flag","hd_support_initiation_or_count_increase_flag","hd_support_new_or_switched_agent_flag","n","pct"
"01_overall_ahf12","0","0","0","0","0","0","0","0","4928","78.21"
"01_overall_ahf12","1","1","0","0","0","0","0","0","457","7.25"
"01_overall_ahf12","1","0","0","0","0","0","0","0","282","4.48"
"01_overall_ahf12","0","1","1","1","0","1","1","1","217","3.44"
"01_overall_ahf12","1","2","1","0","1","1","1","1","77","1.22"
"01_overall_ahf12","0","2","2","1","0","1","1","1","72","1.14"
"01_overall_ahf12","2","1","0","0","0","0","0","0","58","0.92"
"01_overall_ahf12","2","2","0","0","0","0","0","0","50","0.79"
"01_overall_ahf12","0","3","3","1","0","1","1","1","31","0.49"
"01_overall_ahf12","2","0","0","0","0","0","0","0","24","0.38"
"01_overall_ahf12","1","3","2","0","1","1","1","1","17","0.27"
"01_overall_ahf12","3","2","0","0","0","0","0","0","16","0.25"
"01_overall_ahf12","2","2","1","0","1","0","0","1","11","0.17"
"01_overall_ahf12","1","1","1","0","1","0","0","1","10","0.16"
"01_overall_ahf12","2","3","1","0","1","1","1","1","9","0.14"
"01_overall_ahf12","3","1","0","0","0","0","0","0","9","0.14"
"01_overall_ahf12","0","4","4","1","0","1","1","1","8","0.13"
"01_overall_ahf12","3","3","0","0","0","0","0","0","5","0.08"
"01_overall_ahf12","1","4","3","0","1","1","1","1","5","0.08"
"01_overall_ahf12","1","5","4","0","1","1","1","1","3","0.05"
"01_overall_ahf12","0","5","5","1","0","1","1","1","3","0.05"
"01_overall_ahf12","3","3","1","0","1","0","0","1","2","0.03"
"01_overall_ahf12","3","5","2","0","1","1","1","1","1","0.02"
"01_overall_ahf12","4","4","0","0","0","0","0","0","1","0.02"
"01_overall_ahf12","1","2","2","0","1","1","1","1","1","0.02"
"01_overall_ahf12","2","4","3","0","1","1","1","1","1","0.02"
"01_overall_ahf12","3","0","0","0","0","0","0","0","1","0.02"
"01_overall_ahf12","2","5","3","0","1","1","1","1","1","0.02"
"01_overall_ahf12","3","4","1","0","1","1","1","1","1","0.02"
"02_early_sepsis12_main","0","0","0","0","0","0","0","0","1689","69.68"
"02_early_sepsis12_main","1","1","0","0","0","0","0","0","252","10.4"
"02_early_sepsis12_main","1","0","0","0","0","0","0","0","128","5.28"
"02_early_sepsis12_main","0","1","1","1","0","1","1","1","110","4.54"
"02_early_sepsis12_main","1","2","1","0","1","1","1","1","47","1.94"
"02_early_sepsis12_main","0","2","2","1","0","1","1","1","38","1.57"
"02_early_sepsis12_main","2","1","0","0","0","0","0","0","35","1.44"
"02_early_sepsis12_main","2","2","0","0","0","0","0","0","30","1.24"
"02_early_sepsis12_main","2","0","0","0","0","0","0","0","14","0.58"
"02_early_sepsis12_main","1","3","2","0","1","1","1","1","13","0.54"
"02_early_sepsis12_main","3","2","0","0","0","0","0","0","12","0.5"
"02_early_sepsis12_main","0","3","3","1","0","1","1","1","10","0.41"
"02_early_sepsis12_main","2","3","1","0","1","1","1","1","9","0.37"
"02_early_sepsis12_main","2","2","1","0","1","0","0","1","7","0.29"
"02_early_sepsis12_main","1","1","1","0","1","0","0","1","7","0.29"
"02_early_sepsis12_main","3","1","0","0","0","0","0","0","5","0.21"
"02_early_sepsis12_main","0","4","4","1","0","1","1","1","3","0.12"
"02_early_sepsis12_main","3","3","0","0","0","0","0","0","3","0.12"
"02_early_sepsis12_main","1","4","3","0","1","1","1","1","3","0.12"
"02_early_sepsis12_main","3","3","1","0","1","0","0","1","2","0.08"
"02_early_sepsis12_main","1","5","4","0","1","1","1","1","2","0.08"
"02_early_sepsis12_main","0","5","5","1","0","1","1","1","2","0.08"
"02_early_sepsis12_main","3","5","2","0","1","1","1","1","1","0.04"
"02_early_sepsis12_main","1","2","2","0","1","1","1","1","1","0.04"
"02_early_sepsis12_main","3","4","1","0","1","1","1","1","1","0.04"
"03_no_early_sepsis12_main","0","0","0","0","0","0","0","0","3239","83.54"
"03_no_early_sepsis12_main","1","1","0","0","0","0","0","0","205","5.29"
"03_no_early_sepsis12_main","1","0","0","0","0","0","0","0","154","3.97"
"03_no_early_sepsis12_main","0","1","1","1","0","1","1","1","107","2.76"
"03_no_early_sepsis12_main","0","2","2","1","0","1","1","1","34","0.88"
"03_no_early_sepsis12_main","1","2","1","0","1","1","1","1","30","0.77"
"03_no_early_sepsis12_main","2","1","0","0","0","0","0","0","23","0.59"
"03_no_early_sepsis12_main","0","3","3","1","0","1","1","1","21","0.54"
"03_no_early_sepsis12_main","2","2","0","0","0","0","0","0","20","0.52"
"03_no_early_sepsis12_main","2","0","0","0","0","0","0","0","10","0.26"
"03_no_early_sepsis12_main","0","4","4","1","0","1","1","1","5","0.13"
"03_no_early_sepsis12_main","3","1","0","0","0","0","0","0","4","0.1"
"03_no_early_sepsis12_main","1","3","2","0","1","1","1","1","4","0.1"
"03_no_early_sepsis12_main","2","2","1","0","1","0","0","1","4","0.1"
"03_no_early_sepsis12_main","3","2","0","0","0","0","0","0","4","0.1"
"03_no_early_sepsis12_main","1","1","1","0","1","0","0","1","3","0.08"
"03_no_early_sepsis12_main","1","4","3","0","1","1","1","1","2","0.05"
"03_no_early_sepsis12_main","3","3","0","0","0","0","0","0","2","0.05"
"03_no_early_sepsis12_main","2","4","3","0","1","1","1","1","1","0.03"
"03_no_early_sepsis12_main","0","5","5","1","0","1","1","1","1","0.03"
"03_no_early_sepsis12_main","4","4","0","0","0","0","0","0","1","0.03"
"03_no_early_sepsis12_main","1","5","4","0","1","1","1","1","1","0.03"
"03_no_early_sepsis12_main","3","0","0","0","0","0","0","0","1","0.03"
"03_no_early_sepsis12_main","2","5","3","0","1","1","1","1","1","0.03"
