"cohort","outcome","n_total","n_events","event_rate"
"01_overall_ahf12","01_hd_broad_original","6301","536","8.51"
"01_overall_ahf12","02_nee_new_start","6301","309","4.9"
"01_overall_ahf12","03_nee_delta_premax_ge005","6301","132","2.09"
"01_overall_ahf12","04_nee_delta_premax_ge010","6301","90","1.43"
"01_overall_ahf12","05_nee_delta_prelast_ge005","6301","205","3.25"
"01_overall_ahf12","06_nee_delta_prelast_ge010","6301","130","2.06"
"01_overall_ahf12","07_nee_relative_increase_50pct","6301","135","2.14"
"01_overall_ahf12","08_nee_escalation_conservative","6301","132","2.09"
"01_overall_ahf12","09_nee_escalation_sensitive","6301","225","3.57"
"01_overall_ahf12","10_hd_broad_nee005","6301","605","9.6"
"01_overall_ahf12","11_hd_broad_nee010","6301","580","9.2"
"01_overall_ahf12","12_hd_lac_confirmed_nee005","6301","183","2.9"
"02_early_sepsis12_main","01_hd_broad_original","2424","282","11.63"
"02_early_sepsis12_main","02_nee_new_start","2424","150","6.19"
"02_early_sepsis12_main","03_nee_delta_premax_ge005","2424","102","4.21"
"02_early_sepsis12_main","04_nee_delta_premax_ge010","2424","69","2.85"
"02_early_sepsis12_main","05_nee_delta_prelast_ge005","2424","154","6.35"
"02_early_sepsis12_main","06_nee_delta_prelast_ge010","2424","101","4.17"
"02_early_sepsis12_main","07_nee_relative_increase_50pct","2424","100","4.13"
"02_early_sepsis12_main","08_nee_escalation_conservative","2424","102","4.21"
"02_early_sepsis12_main","09_nee_escalation_sensitive","2424","167","6.89"
"02_early_sepsis12_main","10_hd_broad_nee005","2424","334","13.78"
"02_early_sepsis12_main","11_hd_broad_nee010","2424","315","13"
"02_early_sepsis12_main","12_hd_lac_confirmed_nee005","2424","105","4.33"
"03_no_early_sepsis12_main","01_hd_broad_original","3877","254","6.55"
"03_no_early_sepsis12_main","02_nee_new_start","3877","159","4.1"
"03_no_early_sepsis12_main","03_nee_delta_premax_ge005","3877","30","0.77"
"03_no_early_sepsis12_main","04_nee_delta_premax_ge010","3877","21","0.54"
"03_no_early_sepsis12_main","05_nee_delta_prelast_ge005","3877","51","1.32"
"03_no_early_sepsis12_main","06_nee_delta_prelast_ge010","3877","29","0.75"
"03_no_early_sepsis12_main","07_nee_relative_increase_50pct","3877","35","0.9"
"03_no_early_sepsis12_main","08_nee_escalation_conservative","3877","30","0.77"
"03_no_early_sepsis12_main","09_nee_escalation_sensitive","3877","58","1.5"
"03_no_early_sepsis12_main","10_hd_broad_nee005","3877","271","6.99"
"03_no_early_sepsis12_main","11_hd_broad_nee010","3877","265","6.84"
"03_no_early_sepsis12_main","12_hd_lac_confirmed_nee005","3877","78","2.01"
