"early_sepsis12_main_flag","hd_support_initiation_or_count_increase_flag","nee_escalation_conservative_flag","death_12_60_flag","hd_deterioration_broad_flag","hd_deterioration_broad_nee005_flag","n","pct_within_sepsis_stratum"
"0","0","0","0","0","0","3606","93.01"
"0","1","0","0","1","1","185","4.77"
"0","0","0","1","1","1","47","1.21"
"0","0","1","0","0","1","17","0.44"
"0","1","1","0","1","1","11","0.28"
"0","1","0","1","1","1","9","0.23"
"0","1","1","1","1","1","2","0.05"
"1","0","0","0","0","0","2090","86.22"
"1","1","0","0","1","1","181","7.47"
"1","0","1","0","0","1","52","2.15"
"1","1","1","0","1","1","44","1.82"
"1","0","0","1","1","1","42","1.73"
"1","1","0","1","1","1","9","0.37"
"1","1","1","1","1","1","6","0.25"
