"table_schema","table_name","column_name","data_type"
"mimiciv_derived","bg","subject_id","integer"
"mimiciv_derived","bg","hadm_id","integer"
"mimiciv_derived","bg","charttime","timestamp without time zone"
"mimiciv_derived","bg","specimen","text"
"mimiciv_derived","bg","so2","double precision"
"mimiciv_derived","bg","po2","double precision"
"mimiciv_derived","bg","pco2","double precision"
"mimiciv_derived","bg","fio2_chartevents","double precision"
"mimiciv_derived","bg","fio2","double precision"
"mimiciv_derived","bg","aado2","double precision"
"mimiciv_derived","bg","aado2_calc","double precision"
"mimiciv_derived","bg","pao2fio2ratio","double precision"
"mimiciv_derived","bg","ph","double precision"
"mimiciv_derived","bg","baseexcess","double precision"
"mimiciv_derived","bg","bicarbonate","double precision"
"mimiciv_derived","bg","totalco2","double precision"
"mimiciv_derived","bg","hematocrit","double precision"
"mimiciv_derived","bg","hemoglobin","double precision"
"mimiciv_derived","bg","carboxyhemoglobin","double precision"
"mimiciv_derived","bg","methemoglobin","double precision"
"mimiciv_derived","bg","chloride","double precision"
"mimiciv_derived","bg","calcium","double precision"
"mimiciv_derived","bg","temperature","double precision"
"mimiciv_derived","bg","potassium","double precision"
"mimiciv_derived","bg","sodium","double precision"
"mimiciv_derived","bg","lactate","double precision"
"mimiciv_derived","bg","glucose","double precision"
"mimiciv_derived","charlson","subject_id","integer"
"mimiciv_derived","charlson","hadm_id","integer"
"mimiciv_derived","charlson","age_score","integer"
"mimiciv_derived","charlson","myocardial_infarct","integer"
"mimiciv_derived","charlson","congestive_heart_failure","integer"
"mimiciv_derived","charlson","peripheral_vascular_disease","integer"
"mimiciv_derived","charlson","cerebrovascular_disease","integer"
"mimiciv_derived","charlson","dementia","integer"
"mimiciv_derived","charlson","chronic_pulmonary_disease","integer"
"mimiciv_derived","charlson","rheumatic_disease","integer"
"mimiciv_derived","charlson","peptic_ulcer_disease","integer"
"mimiciv_derived","charlson","mild_liver_disease","integer"
"mimiciv_derived","charlson","diabetes_without_cc","integer"
"mimiciv_derived","charlson","diabetes_with_cc","integer"
"mimiciv_derived","charlson","paraplegia","integer"
"mimiciv_derived","charlson","renal_disease","integer"
"mimiciv_derived","charlson","malignant_cancer","integer"
"mimiciv_derived","charlson","severe_liver_disease","integer"
"mimiciv_derived","charlson","metastatic_solid_tumor","integer"
"mimiciv_derived","charlson","aids","integer"
"mimiciv_derived","charlson","charlson_comorbidity_index","integer"
"mimiciv_derived","chemistry","subject_id","integer"
"mimiciv_derived","chemistry","hadm_id","integer"
"mimiciv_derived","chemistry","charttime","timestamp without time zone"
"mimiciv_derived","chemistry","specimen_id","integer"
"mimiciv_derived","chemistry","albumin","double precision"
"mimiciv_derived","chemistry","globulin","double precision"
"mimiciv_derived","chemistry","total_protein","double precision"
"mimiciv_derived","chemistry","aniongap","double precision"
"mimiciv_derived","chemistry","bicarbonate","double precision"
"mimiciv_derived","chemistry","bun","double precision"
"mimiciv_derived","chemistry","calcium","double precision"
"mimiciv_derived","chemistry","chloride","double precision"
"mimiciv_derived","chemistry","creatinine","double precision"
"mimiciv_derived","chemistry","glucose","double precision"
"mimiciv_derived","chemistry","sodium","double precision"
"mimiciv_derived","chemistry","potassium","double precision"
"mimiciv_derived","coagulation","subject_id","integer"
"mimiciv_derived","coagulation","hadm_id","integer"
"mimiciv_derived","coagulation","charttime","timestamp without time zone"
"mimiciv_derived","coagulation","specimen_id","integer"
"mimiciv_derived","coagulation","d_dimer","double precision"
"mimiciv_derived","coagulation","fibrinogen","double precision"
"mimiciv_derived","coagulation","thrombin","double precision"
"mimiciv_derived","coagulation","inr","double precision"
"mimiciv_derived","coagulation","pt","double precision"
"mimiciv_derived","coagulation","ptt","double precision"
"mimiciv_derived","complete_blood_count","subject_id","integer"
"mimiciv_derived","complete_blood_count","hadm_id","integer"
"mimiciv_derived","complete_blood_count","charttime","timestamp without time zone"
"mimiciv_derived","complete_blood_count","specimen_id","integer"
"mimiciv_derived","complete_blood_count","hematocrit","double precision"
"mimiciv_derived","complete_blood_count","hemoglobin","double precision"
"mimiciv_derived","complete_blood_count","mch","double precision"
"mimiciv_derived","complete_blood_count","mchc","double precision"
"mimiciv_derived","complete_blood_count","mcv","double precision"
"mimiciv_derived","complete_blood_count","platelet","double precision"
"mimiciv_derived","complete_blood_count","rbc","double precision"
"mimiciv_derived","complete_blood_count","rdw","double precision"
"mimiciv_derived","complete_blood_count","rdwsd","double precision"
"mimiciv_derived","complete_blood_count","wbc","double precision"
"mimiciv_derived","gcs","subject_id","integer"
"mimiciv_derived","gcs","stay_id","integer"
"mimiciv_derived","gcs","charttime","timestamp without time zone"
"mimiciv_derived","gcs","gcs","double precision"
"mimiciv_derived","gcs","gcs_motor","double precision"
"mimiciv_derived","gcs","gcs_verbal","double precision"
"mimiciv_derived","gcs","gcs_eyes","double precision"
"mimiciv_derived","gcs","gcs_unable","integer"
"mimiciv_derived","norepinephrine_equivalent_dose","stay_id","integer"
"mimiciv_derived","norepinephrine_equivalent_dose","starttime","timestamp without time zone"
"mimiciv_derived","norepinephrine_equivalent_dose","endtime","timestamp without time zone"
"mimiciv_derived","norepinephrine_equivalent_dose","norepinephrine_equivalent_dose","numeric"
"mimiciv_derived","urine_output","stay_id","integer"
"mimiciv_derived","urine_output","charttime","timestamp without time zone"
"mimiciv_derived","urine_output","urineoutput","double precision"
"mimiciv_derived","vasoactive_agent","stay_id","integer"
"mimiciv_derived","vasoactive_agent","starttime","timestamp without time zone"
"mimiciv_derived","vasoactive_agent","endtime","timestamp without time zone"
"mimiciv_derived","vasoactive_agent","dopamine","double precision"
"mimiciv_derived","vasoactive_agent","epinephrine","double precision"
"mimiciv_derived","vasoactive_agent","norepinephrine","double precision"
"mimiciv_derived","vasoactive_agent","phenylephrine","double precision"
"mimiciv_derived","vasoactive_agent","vasopressin","double precision"
"mimiciv_derived","vasoactive_agent","dobutamine","double precision"
"mimiciv_derived","vasoactive_agent","milrinone","double precision"
"mimiciv_derived","ventilation","stay_id","integer"
"mimiciv_derived","ventilation","starttime","timestamp without time zone"
"mimiciv_derived","ventilation","endtime","timestamp without time zone"
"mimiciv_derived","ventilation","ventilation_status","text"
"mimiciv_derived","vitalsign","subject_id","integer"
"mimiciv_derived","vitalsign","stay_id","integer"
"mimiciv_derived","vitalsign","charttime","timestamp without time zone"
"mimiciv_derived","vitalsign","heart_rate","double precision"
"mimiciv_derived","vitalsign","sbp","double precision"
"mimiciv_derived","vitalsign","dbp","double precision"
"mimiciv_derived","vitalsign","mbp","double precision"
"mimiciv_derived","vitalsign","sbp_ni","double precision"
"mimiciv_derived","vitalsign","dbp_ni","double precision"
"mimiciv_derived","vitalsign","mbp_ni","double precision"
"mimiciv_derived","vitalsign","resp_rate","double precision"
"mimiciv_derived","vitalsign","temperature","numeric"
"mimiciv_derived","vitalsign","temperature_site","text"
"mimiciv_derived","vitalsign","spo2","double precision"
"mimiciv_derived","vitalsign","glucose","double precision"
