"first_careunit","n","n_events","event_rate"
"Coronary Care Unit (CCU)","760","134","17.63"
"Medical Intensive Care Unit (MICU)","687","72","10.48"
"Medical/Surgical Intensive Care Unit (MICU/SICU)","447","47","10.51"
"Cardiac Vascular Intensive Care Unit (CVICU)","228","45","19.74"
"Surgical Intensive Care Unit (SICU)","157","12","7.64"
"Trauma SICU (TSICU)","105","16","15.24"
"Neuro Intermediate","19","2","10.53"
"Neuro Surgical Intensive Care Unit (Neuro SICU)","16","5","31.25"
"PACU","2","0","0"
"Neuro Stepdown","1","0","0"
"Surgery/Trauma","1","1","100"
"Surgery/Vascular/Intermediate","1","0","0"
